,Distribution,Attack Type,Framework,1,2,3,4,5,6,7,8,9
0,IID,Pixel Backdoor Attack,FedAVG,99.98000264167786,99.98999834060669,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,Non-IID,Pixel Backdoor Attack,FedAVG,99.93000030517578,99.95999932289124,99.98000264167786,100.0,99.98999834060669,100.0,99.98999834060669,100.0,100.0
2,IID,Model Replacement Attack,FedAVG,17.1875,25.0,21.875,34.375,39.0625,56.25,54.6875,67.1875,68.75
3,Non-IID,Model Replacement Attack,FedAVG,15.625,23.4375,39.0625,40.625,43.75,39.0625,46.875,79.6875,78.125
4,IID,Pixel Backdoor Attack,FedAVG-KRUM,9.780000150203705,9.719999879598618,9.889999777078629,21.67000025510788,100.0,100.0,100.0,100.0,100.0
5,Non-IID,Pixel Backdoor Attack,FedAVG-KRUM,99.93000030517578,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6,IID,Model Replacement Attack,FedAVG-KRUM,9.375,21.875,28.125,26.5625,29.6875,56.25,39.0625,53.125,56.25
7,Non-IID,Model Replacement Attack,FedAVG-KRUM,18.75,25.0,51.5625,62.5,76.5625,93.75,75.0,67.1875,45.3125
8,IID,Pixel Backdoor Attack,DPRSA,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9,Non-IID,Pixel Backdoor Attack,DPRSA,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
10,IID,Model Replacement Attack,DPRSA,51.5625,73.4375,79.6875,82.8125,82.8125,78.125,71.875,81.25,73.4375
11,Non-IID,Model Replacement Attack,DPRSA,39.0625,85.9375,95.3125,92.1875,98.4375,98.4375,90.625,98.4375,98.4375
12,IID,Pixel Backdoor Attack,Majority Vote,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
13,Non-IID,Pixel Backdoor Attack,Majority Vote,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
14,IID,Model Replacement Attack,Majority Vote,23.4375,12.5,21.875,25.0,42.1875,81.25,100.0,100.0,100.0
15,Non-IID,Model Replacement Attack,Majority Vote,17.1875,42.1875,29.6875,57.8125,93.75,100.0,100.0,71.875,100.0
16,IID,Pixel Backdoor Attack,FedSIGN,11.079999804496765,10.96000000834465,11.330000311136246,11.590000241994858,11.51999980211258,11.819999665021896,12.870000302791595,13.410000503063202,9.969999641180038
17,Non-IID,Pixel Backdoor Attack,FedSIGN,10.71999967098236,9.780000150203705,10.490000247955322,8.429999649524689,7.360000163316727,10.209999978542328,9.600000083446503,9.619999676942825,0.0
18,IID,Model Replacement Attack,FedSIGN,7.8125,7.8125,9.375,9.375,12.5,3.125,12.5,12.5,12.5
19,Non-IID,Model Replacement Attack,FedSIGN,7.8125,10.9375,10.9375,6.25,10.9375,9.375,17.1875,6.25,1.5625
