,Distribution,Attack Type,Framework,1,2,3,4,5,6,7,8,9
0,IID,Gaussian Noise Attack,FedAVG,63.3899986743927,32.37000107765198,21.130000054836273,17.829999327659607,18.140000104904175,10.000000149011612,10.000000149011612,10.000000149011612,10.000000149011612
1,Non-IID,Gaussian Noise Attack,FedAVG,23.29999953508377,20.270000398159027,10.000000149011612,10.000000149011612,10.000000149011612,10.000000149011612,10.000000149011612,10.000000149011612,10.000000149011612
2,IID,Label Flip Attack,FedAVG,72.25000262260437,70.01000046730042,67.43999719619751,64.82999920845032,58.170002698898315,47.600001096725464,34.83000099658966,16.990000009536743,7.460000365972519
3,Non-IID,Label Flip Attack,FedAVG,75.8400022983551,70.8400011062622,71.03000283241272,59.03000235557556,48.660001158714294,42.64000058174133,38.82000148296356,16.79999977350235,10.050000250339508
4,IID,Pixel Backdoor Attack,FedAVG,77.7899980545044,76.94000005722046,75.59000253677368,74.44000244140625,73.37999939918518,71.72999978065491,66.839998960495,60.7699990272522,51.75999999046326
5,Non-IID,Pixel Backdoor Attack,FedAVG,76.92000269889832,75.65000057220459,75.16000270843506,73.15999865531921,71.28000259399414,70.37000060081482,66.64999723434448,59.18999910354614,36.10999882221222
6,IID,Model Replacement Attack,FedAVG,78.57000231742859,77.95000076293945,78.5099983215332,77.97999978065491,78.47999930381775,78.35000157356262,78.04999947547913,78.09000015258789,78.22999954223633
7,Non-IID,Model Replacement Attack,FedAVG,77.68999934196472,78.27000021934509,77.59000062942505,77.16000080108643,78.20000052452087,77.60999798774719,77.77000069618225,77.50999927520752,77.63000130653381
8,IID,Gaussian Noise Attack,FedAVG-KRUM,78.03999781608582,77.38000154495239,76.45000219345093,75.70000290870667,10.000000149011612,10.000000149011612,10.000000149011612,10.000000149011612,10.000000149011612
9,Non-IID,Gaussian Noise Attack,FedAVG-KRUM,77.41000056266785,75.49999952316284,73.29999804496765,73.91999959945679,10.000000149011612,10.000000149011612,10.000000149011612,10.000000149011612,10.000000149011612
10,IID,Label Flip Attack,FedAVG-KRUM,77.85999774932861,77.48000025749207,75.80000162124634,75.56999921798706,7.199999690055847,6.889999657869339,7.310000061988831,6.5800003707408905,7.5599998235702515
11,Non-IID,Label Flip Attack,FedAVG-KRUM,74.83000159263611,76.09000205993652,73.64000082015991,40.619999170303345,21.040000021457672,23.440000414848328,6.179999932646751,7.639999687671661,10.189999639987946
12,IID,Pixel Backdoor Attack,FedAVG-KRUM,78.17999720573425,76.84000134468079,76.03999972343445,75.3600001335144,10.000000149011612,10.000000149011612,10.000000149011612,10.000000149011612,10.000000149011612
13,Non-IID,Pixel Backdoor Attack,FedAVG-KRUM,75.38999915122986,73.07000160217285,67.1999990940094,38.15999925136566,10.000000149011612,10.000000149011612,10.000000149011612,10.000000149011612,10.000000149011612
14,IID,Model Replacement Attack,FedAVG-KRUM,78.58999967575073,78.43999862670898,77.85000205039978,76.8999993801117,76.78999900817871,75.91999769210815,74.14000034332275,72.75000214576721,68.2699978351593
15,Non-IID,Model Replacement Attack,FedAVG-KRUM,77.24000215530396,75.55999755859375,74.52999949455261,71.57999873161316,71.4900016784668,65.81000089645386,60.269999504089355,54.49000000953674,48.420000076293945
16,IID,Gaussian Noise Attack,DPRSA,70.56999802589417,69.49999928474426,69.4100022315979,71.05000019073486,69.26000118255615,66.6599988937378,63.440001010894775,62.04000115394592,56.83000087738037
17,Non-IID,Gaussian Noise Attack,DPRSA,66.36999845504761,68.51999759674072,66.46999716758728,64.74000215530396,64.30000066757202,60.50000190734863,57.920002937316895,50.33000111579895,47.600001096725464
18,IID,Label Flip Attack,DPRSA,67.25000143051147,63.55000138282776,60.22999882698059,50.050002336502075,42.07000136375427,28.72999906539917,17.54000037908554,11.45000010728836,11.050000041723251
19,Non-IID,Label Flip Attack,DPRSA,63.89999985694885,59.40999984741211,56.9599986076355,53.25000286102295,40.99000096321106,30.050000548362732,25.06999969482422,16.660000383853912,11.45000010728836
20,IID,Pixel Backdoor Attack,DPRSA,70.45000195503235,69.37999725341797,70.60999870300293,67.87999868392944,66.10999703407288,62.699997425079346,60.87999939918518,59.619998931884766,54.00000214576721
21,Non-IID,Pixel Backdoor Attack,DPRSA,68.18000078201294,66.01999998092651,61.76000237464905,62.58999705314636,61.59999966621399,59.24000144004822,55.94000220298767,45.39999961853027,44.96000111103058
22,IID,Model Replacement Attack,DPRSA,73.36999773979187,74.50000047683716,74.34999942779541,75.45999884605408,75.8400022983551,76.48000121116638,76.59000158309937,77.03999876976013,77.1399974822998
23,Non-IID,Model Replacement Attack,DPRSA,70.27999758720398,72.00000286102295,71.4900016784668,73.15999865531921,73.43999743461609,73.82000088691711,74.87000226974487,73.7600028514862,74.94999766349792
24,IID,Gaussian Noise Attack,Majority Vote,75.3499984741211,74.40000176429749,73.36999773979187,72.02000021934509,71.11999988555908,68.66000294685364,67.40999817848206,63.73000144958496,58.28999876976013
