,Distribution,Attack Type,Framework,1,2,3,4,5,6,7,8,9
10,IID,Model Replacement Attack,DPRSA,1.5625,3.125,39.0625,75.0,82.8125,90.625,95.3125,96.875,96.875
2,IID,Model Replacement Attack,FedAVG,31.25,54.6875,87.5,89.0625,96.875,98.4375,98.4375,98.4375,98.4375
6,IID,Model Replacement Attack,FedAVG-KRUM,3.125,1.5625,0.0,100.0,100.0,100.0,100.0,100.0,100.0
18,IID,Model Replacement Attack,FedSIGN,3.125,3.125,9.375,1.5625,3.125,3.125,4.6875,4.6875,0.0
14,IID,Model Replacement Attack,Majority Vote,0.0,4.6875,50.0,68.75,96.875,98.4375,98.4375,98.4375,98.4375
8,IID,Pixel Backdoor Attack,DPRSA,10.019999742507935,10.040000081062317,9.960000216960907,12.42000013589859,99.98000264167786,100.0,100.0,100.0,100.0
0,IID,Pixel Backdoor Attack,FedAVG,91.76999926567078,98.30999970436096,98.61000180244446,99.8199999332428,99.73000288009644,99.93000030517578,99.98999834060669,100.0,100.0
4,IID,Pixel Backdoor Attack,FedAVG-KRUM,9.740000218153,9.799999743700027,9.749999642372131,9.780000150203705,100.0,100.0,100.0,100.0,100.0
16,IID,Pixel Backdoor Attack,FedSIGN,9.960000216960907,9.920000284910202,9.870000183582306,9.830000251531601,9.830000251531601,9.860000014305115,9.920000284910202,9.780000150203705,10.050000250339508
12,IID,Pixel Backdoor Attack,Majority Vote,9.790000319480896,9.889999777078629,10.649999976158142,9.960000216960907,100.0,100.0,100.0,100.0,100.0
11,Non-IID,Model Replacement Attack,DPRSA,0.0,1.5625,12.5,34.375,84.375,84.375,93.75,95.3125,95.3125
3,Non-IID,Model Replacement Attack,FedAVG,28.125,67.1875,87.5,96.875,95.3125,95.3125,98.4375,100.0,100.0
7,Non-IID,Model Replacement Attack,FedAVG-KRUM,21.875,92.1875,93.75,96.875,100.0,100.0,98.4375,100.0,100.0
19,Non-IID,Model Replacement Attack,FedSIGN,1.5625,4.6875,0.0,4.6875,3.125,1.5625,1.5625,1.5625,0.0
15,Non-IID,Model Replacement Attack,Majority Vote,29.6875,64.0625,65.625,93.75,96.875,98.4375,95.3125,95.3125,100.0
9,Non-IID,Pixel Backdoor Attack,DPRSA,10.339999943971634,11.309999972581863,13.869999349117279,90.16000032424927,100.0,100.0,100.0,100.0,100.0
1,Non-IID,Pixel Backdoor Attack,FedAVG,88.78999948501587,95.92000246047974,99.22000169754028,99.32000041007996,99.77999925613403,99.95999932289124,100.0,100.0,100.0
5,Non-IID,Pixel Backdoor Attack,FedAVG-KRUM,9.749999642372131,9.749999642372131,10.79000011086464,76.80000066757202,100.0,100.0,100.0,100.0,100.0
17,Non-IID,Pixel Backdoor Attack,FedSIGN,10.109999775886536,9.839999675750732,9.870000183582306,9.790000319480896,9.690000116825104,9.709999710321426,9.920000284910202,9.780000150203705,8.92999991774559
13,Non-IID,Pixel Backdoor Attack,Majority Vote,9.849999845027924,13.689999282360077,25.020000338554382,70.02999782562256,100.0,100.0,100.0,100.0,100.0
