,Distribution,Attack Type,Framework,1,2,3,4,5,6,7,8,9
10,IID,Model Replacement Attack,DPRSA,34.375,76.5625,96.875,95.3125,100.0,100.0,100.0,100.0,100.0
2,IID,Model Replacement Attack,FedAVG,82.8125,96.875,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6,IID,Model Replacement Attack,FedAVG-KRUM,10.9375,18.75,7.8125,100.0,100.0,100.0,100.0,100.0,100.0
18,IID,Model Replacement Attack,FedSIGN,3.125,18.75,12.5,15.625,18.75,26.5625,10.9375,12.5,12.5
14,IID,Model Replacement Attack,Majority Vote,59.375,92.1875,98.4375,100.0,100.0,100.0,100.0,100.0,100.0
8,IID,Pixel Backdoor Attack,DPRSA,11.51999980211258,11.60999983549118,12.0899997651577,12.479999661445618,99.98999834060669,100.0,100.0,100.0,100.0
0,IID,Pixel Backdoor Attack,FedAVG,98.51999878883362,99.44000244140625,99.95999932289124,99.98999834060669,100.0,100.0,100.0,100.0,100.0
4,IID,Pixel Backdoor Attack,FedAVG-KRUM,11.36000007390976,11.379999667406082,11.400000005960464,11.410000175237656,100.0,100.0,100.0,100.0,100.0
16,IID,Pixel Backdoor Attack,FedSIGN,11.429999768733978,11.45000010728836,11.420000344514847,11.490000039339066,11.469999700784683,11.43999993801117,11.420000344514847,11.379999667406082,11.410000175237656
12,IID,Pixel Backdoor Attack,Majority Vote,11.479999870061874,11.469999700784683,12.129999697208405,13.95999938249588,100.0,100.0,100.0,100.0,100.0
11,Non-IID,Model Replacement Attack,DPRSA,6.25,31.25,79.6875,95.3125,95.3125,100.0,96.875,100.0,100.0
3,Non-IID,Model Replacement Attack,FedAVG,60.9375,96.875,98.4375,100.0,100.0,100.0,100.0,100.0,100.0
7,Non-IID,Model Replacement Attack,FedAVG-KRUM,87.5,98.4375,100.0,100.0,100.0,100.0,100.0,100.0,100.0
19,Non-IID,Model Replacement Attack,FedSIGN,12.5,9.375,15.625,14.0625,12.5,26.5625,7.8125,23.4375,6.25
15,Non-IID,Model Replacement Attack,Majority Vote,65.625,96.875,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9,Non-IID,Pixel Backdoor Attack,DPRSA,11.699999868869781,11.999999731779099,13.63999992609024,97.45000004768372,100.0,100.0,100.0,100.0,100.0
1,Non-IID,Pixel Backdoor Attack,FedAVG,81.44000172615051,99.55000281333923,99.93000030517578,100.0,100.0,100.0,100.0,100.0,100.0
5,Non-IID,Pixel Backdoor Attack,FedAVG-KRUM,11.389999836683273,11.500000208616257,11.840000003576279,100.0,100.0,100.0,100.0,100.0,100.0
17,Non-IID,Pixel Backdoor Attack,FedSIGN,11.400000005960464,11.490000039339066,11.429999768733978,11.330000311136246,11.469999700784683,11.580000072717667,11.379999667406082,12.02000007033348,13.47000002861023
13,Non-IID,Pixel Backdoor Attack,Majority Vote,11.500000208616257,13.379999995231628,11.85000017285347,95.67000269889832,100.0,100.0,100.0,100.0,100.0
