,Distribution,Attack Type,Framework,1,2,3,4,5,6,7,8,9
16,IID,Gaussian Noise Attack,DPRSA,97.26999998092651,97.3800003528595,96.56999707221985,95.91000080108643,95.16000151634216,94.08000111579895,91.839998960495,86.33000254631042,63.02000284194946
0,IID,Gaussian Noise Attack,FedAVG,95.98000049591064,94.38999891281128,89.92000222206116,11.349999904632568,11.349999904632568,11.349999904632568,11.349999904632568,11.349999904632568,11.349999904632568
8,IID,Gaussian Noise Attack,FedAVG-KRUM,98.69999885559082,98.61999750137329,98.61999750137329,98.58999848365784,98.55999946594238,98.61000180244446,98.54999780654907,98.19999933242798,97.97999858856201
32,IID,Gaussian Noise Attack,FedSIGN,99.00000095367432,98.89000058174133,98.89000058174133,98.7999975681305,98.84999990463257,98.6299991607666,98.58999848365784,98.46000075340271,97.71000146865845
24,IID,Gaussian Noise Attack,Majority Vote,99.00000095367432,98.76999855041504,98.82000088691711,98.7999975681305,98.50999712944031,98.51999878883362,98.4000027179718,97.7400004863739,95.3499972820282
18,IID,Label Flip Attack,DPRSA,97.47999906539917,96.25999927520752,96.23000025749207,94.90000009536743,35.17000079154968,0.800000037997961,0.6500000134110451,0.49000000581145287,0.41000000201165676
2,IID,Label Flip Attack,FedAVG,98.3299970626831,98.24000000953674,98.12999963760376,98.18999767303467,97.99000024795532,95.67999839782715,29.490000009536743,4.14000004529953,0.4600000102072954
10,IID,Label Flip Attack,FedAVG-KRUM,98.50999712944031,98.61000180244446,98.61000180244446,98.7500011920929,98.61000180244446,98.5700011253357,0.2300000051036477,0.26000000070780516,0.3700000001117587
34,IID,Label Flip Attack,FedSIGN,98.989999294281,98.9799976348877,98.82000088691711,98.58999848365784,98.86999726295471,98.46000075340271,98.51999878883362,98.33999872207642,97.3800003528595
26,IID,Label Flip Attack,Majority Vote,98.94000291824341,98.86999726295471,98.580002784729,98.43999743461609,50.44999718666077,0.3000000026077032,0.2199999988079071,0.17999999690800905,0.1500000013038516
22,IID,Model Replacement Attack,DPRSA,97.5600004196167,97.53999710083008,97.57000207901001,97.9200005531311,97.50000238418579,97.69999980926514,97.57999777793884,97.53000140190125,97.5600004196167
6,IID,Model Replacement Attack,FedAVG,98.79000186920166,98.53000044822693,98.5700011253357,98.58999848365784,98.73999953269958,98.7500011920929,98.5700011253357,98.71000051498413,98.55999946594238
14,IID,Model Replacement Attack,FedAVG-KRUM,98.68999719619751,98.53000044822693,98.86999726295471,98.50000143051147,98.61000180244446,98.69999885559082,98.43000173568726,97.97000288963318,98.2200026512146
38,IID,Model Replacement Attack,FedSIGN,99.08000230789185,98.9300012588501,98.96000027656555,98.83000254631042,98.9300012588501,98.9799976348877,98.89000058174133,98.72999787330627,98.82000088691711
30,IID,Model Replacement Attack,Majority Vote,98.7999975681305,98.90000224113464,98.78000020980835,98.9300012588501,98.89000058174133,98.90999794006348,99.01000261306763,98.90999794006348,99.00000095367432
20,IID,Pixel Backdoor Attack,DPRSA,97.22999930381775,96.67999744415283,96.03000283241272,94.51000094413757,11.45000010728836,11.349999904632568,11.349999904632568,11.349999904632568,11.349999904632568
4,IID,Pixel Backdoor Attack,FedAVG,98.65000247955322,98.42000007629395,98.25000166893005,97.89999723434448,97.96000123023987,97.31000065803528,96.78999781608582,96.41000032424927,90.47999978065491
12,IID,Pixel Backdoor Attack,FedAVG-KRUM,98.76999855041504,98.6299991607666,98.73999953269958,98.72000217437744,11.349999904632568,11.349999904632568,11.349999904632568,11.349999904632568,11.349999904632568
36,IID,Pixel Backdoor Attack,FedSIGN,99.09999966621399,99.00000095367432,98.86999726295471,99.04000163078308,98.83000254631042,98.69999885559082,98.4499990940094,98.11000227928162,97.46000170707703
28,IID,Pixel Backdoor Attack,Majority Vote,98.90999794006348,98.91999959945679,98.60000014305115,98.25999736785889,11.349999904632568,11.349999904632568,11.349999904632568,11.349999904632568,11.349999904632568
17,Non-IID,Gaussian Noise Attack,DPRSA,95.169997215271,94.2300021648407,93.14000010490417,92.25999712944031,88.59000205993652,65.75000286102295,44.440001249313354,19.920000433921814,9.740000218153
1,Non-IID,Gaussian Noise Attack,FedAVG,93.4000015258789,86.32000088691711,79.76999878883362,58.82999897003174,51.63000226020813,23.499999940395355,9.57999974489212,10.100000351667404,11.349999904632568
9,Non-IID,Gaussian Noise Attack,FedAVG-KRUM,98.36999773979187,98.61999750137329,98.33999872207642,98.580002784729,9.799999743700027,9.799999743700027,9.799999743700027,9.799999743700027,9.799999743700027
33,Non-IID,Gaussian Noise Attack,FedSIGN,99.01000261306763,98.90999794006348,98.72999787330627,98.68999719619751,98.01999926567078,98.17000031471252,97.54999876022339,79.47999835014343,67.65000224113464
25,Non-IID,Gaussian Noise Attack,Majority Vote,97.89000153541565,97.64999747276306,97.83999919891357,97.5600004196167,95.57999968528748,94.17999982833862,78.72999906539917,74.6500015258789,66.75000190734863
19,Non-IID,Label Flip Attack,DPRSA,94.70000267028809,93.43000054359436,93.12000274658203,85.14000177383423,45.26999890804291,2.8200000524520874,0.9300000034272671,0.7000000216066837,0.6899999920278788
3,Non-IID,Label Flip Attack,FedAVG,97.94999957084656,98.19999933242798,98.07999730110168,97.93999791145325,82.20999836921692,65.57000279426575,42.559999227523804,25.760000944137573,1.0900000110268593
11,Non-IID,Label Flip Attack,FedAVG-KRUM,98.4499990940094,98.51999878883362,98.5700011253357,98.2699990272522,0.2199999988079071,0.279999990016222,0.5299999844282866,0.3700000001117587,0.6099999882280827
35,Non-IID,Label Flip Attack,FedSIGN,98.83000254631042,98.64000082015991,98.79000186920166,98.58999848365784,98.29999804496765,98.03000092506409,77.7999997138977,79.79000210762024,70.27999758720398
27,Non-IID,Label Flip Attack,Majority Vote,97.50999808311462,96.86999917030334,94.2900002002716,94.98000144958496,61.58999800682068,1.5200000256299973,0.31999999191612005,0.34000000450760126,0.3800000064074993
23,Non-IID,Model Replacement Attack,DPRSA,95.3000009059906,95.34000158309937,94.90000009536743,95.70000171661377,95.3499972820282,94.84000205993652,95.1200008392334,95.71999907493591,94.80000138282776
7,Non-IID,Model Replacement Attack,FedAVG,98.37999939918518,98.54000210762024,98.65999817848206,98.40999841690063,98.60000014305115,98.54000210762024,98.54999780654907,98.50000143051147,98.29999804496765
15,Non-IID,Model Replacement Attack,FedAVG-KRUM,98.60000014305115,98.47000241279602,97.50999808311462,98.00999760627747,97.9099988937378,98.00000190734863,96.96999788284302,96.25999927520752,95.59000134468079
39,Non-IID,Model Replacement Attack,FedSIGN,98.83999824523926,98.72000217437744,98.79000186920166,98.35000038146973,98.14000129699707,98.14000129699707,97.9099988937378,98.15999865531921,97.71999716758728
31,Non-IID,Model Replacement Attack,Majority Vote,97.89999723434448,98.19999933242798,97.65999913215637,98.04999828338623,97.86999821662903,98.07999730110168,98.18999767303467,97.78000116348267,97.8600025177002
